,Address,City,ZIP,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
0,"928 6th Ave S",NASHVILLE,37203.0,TN,36.148719,-86.772077,1,rooftop,928,"6th Ave S",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
1,"500 Gallatin Ave",NASHVILLE,37206.0,TN,36.18152,-86.749629,1,rooftop,500,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
2,"5720 Crossings Blvd",,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
3,"7689 Hwy 70 S",NASHVILLE,37221.0,TN,36.081001,-86.956301,1,range_interpolation,7689,"Hwy 70 S",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
4,"5310 Mt View Rd",ANTIOCH,37013.0,TN,36.047201,-86.649957,0.78,nearest_rooftop_match,5330,"Mt View Rd",,,Antioch,TN,"Davidson County",37013,US,"City of Nashville"
5,"945 Allen Rd",NASHVILLE,37214.0,TN,36.150484,-86.66582,1,rooftop,945,"Allen Rd",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
6,"1635 County Hospital Rd",NASHVILLE,37218.0,TN,36.189773,-86.839072,1,rooftop,1635,"County Hospital Rd",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
7,"1524 Gallatin Ave",NASHVILLE,37206.0,TN,36.194654,-86.743711,1,rooftop,1524,"Gallatin Ave",,,Nashville,TN,"Davidson County",37206,US,"City of Nashville"
8,"301 14th Ave N",NASHVILLE,37203.0,TN,36.159294,-86.793161,1,rooftop,301,"14th Ave N",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
9,"5824 Nolensville Pike",NASHVILLE,37211.0,TN,36.042018,-86.712464,1,rooftop,5824,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"City of Nashville"
10,"205 E Webster St",MADISON,37115.0,TN,36.251498,-86.716162,1,rooftop,205,"E Webster St",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
11,"1522 Demonbreun St",NASHVILLE,37203.0,TN,36.153246,-86.790447,1,rooftop,1522,"Demonbreun St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
12,"2001 8th Ave S",NASHVILLE,37204.0,TN,36.133925,-86.779505,1,rooftop,2001,"8th Ave S",,,Nashville,TN,"Davidson County",37204,US,"City of Nashville"
13,"4205 Blackwater Dr",NASHVILLE,37221.0,TN,36.165688,-86.778098,0.33,place,,,,,Nashville,TN,"Davidson County",37201,US,"TIGER/Line® dataset from the US Census Bureau"
14,"5824 Nolensville Pike",NASHVILLE,37211.0,TN,36.042018,-86.712464,1,rooftop,5824,"Nolensville Pike",,,Nashville,TN,"Davidson County",37211,US,"City of Nashville"
15,"2450 Music Valley Dr",NASHVILLE,37214.0,TN,36.221044,-86.694487,1,rooftop,2450,"Music Valley Dr",,,Nashville,TN,"Davidson County",37214,US,"City of Nashville"
16,"4806 Colorado Ave",NASHVILLE,37209.0,TN,36.142341,-86.844946,1,rooftop,4806,"Colorado Ave",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
17,"912 Kalvesta Ct",ANTIOCH,37013.0,TN,36.077397,-86.6005,1,range_interpolation,912,"Kalvesta Ct",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
18,"349 Peabody St",NASHVILLE,37210.0,TN,36.155964,-86.773445,1,range_interpolation,349,"Peabody St",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
19,"2535 Powell Ave",NASHVILLE,37204.0,TN,36.110129,-86.766991,1,range_interpolation,2535,"Powell Ave",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
20,"276 White Bridge Pike",NASHVILLE,37209.0,TN,36.142485,-86.857304,1,rooftop,276,"White Bridge Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
21,"1621 Heil Quaker Blvd",LAVERGNE,37086.0,TN,36.014218,-86.609107,1,range_interpolation,1621,"Heil Quaker Blvd",,,"La Vergne",TN,"Davidson County",37086,US,"TIGER/Line® dataset from the US Census Bureau"
22,"330 Gallatin Pike S",MADISON,37115.0,TN,36.259797,-86.713227,0.9,range_interpolation,330,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"TIGER/Line® dataset from the US Census Bureau"
23,"556 Metroplex Dr",NASHVILLE,37211.0,TN,36.092343,-86.702618,1,range_interpolation,556,"Metroplex Dr",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
24,"601 Oak Forest Ln",ANTIOCH,37013.0,TN,36.077591,-86.655703,1,range_interpolation,601,"Oak Forest Ln",,,Antioch,TN,"Davidson County",37013,US,"TIGER/Line® dataset from the US Census Bureau"
25,"7034 Charlotte Pike",NASHVILLE,37209.0,TN,36.133569,-86.905724,1,rooftop,7034,"Charlotte Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
26,"1900 Belmont Blvd",NASHVILLE,37212.0,TN,36.133979,-86.795589,1,range_interpolation,1900,"Belmont Blvd",,,Nashville,TN,"Davidson County",37212,US,"TIGER/Line® dataset from the US Census Bureau"
27,"8103 Moores Ln",,,TN,0,0,0,,,,,,,,,,,
28,"1024 40th Ave N",NASHVILLE,37209.0,TN,36.163235,-86.837306,1,rooftop,1024,"40th Ave N",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
29,"W Trinity Ln & Whites Creek Pike",NASHVILLE,37207.0,TN,36.206921,-86.794664,0.82,intersection,,"W Trinity Ln",,,Nashville,TN,"Davidson County",37207,US,"TIGER/Line® dataset from the US Census Bureau"
30,"365 Harding Pl",NASHVILLE,37211.0,TN,36.084635,-86.704251,1,range_interpolation,365,"Harding Pl",,,Nashville,TN,"Davidson County",37211,US,"TIGER/Line® dataset from the US Census Bureau"
31,"3021 Lealand Ln",NASHVILLE,37204.0,TN,36.119375,-86.787498,1,range_interpolation,3021,"Lealand Ln",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
32,"3430 Doverside Dr",NASHVILLE,37207.0,TN,36.243121,-86.757509,1,rooftop,3430,"Doverside Dr",,,Nashville,TN,"Davidson County",37207,US,"City of Nashville"
33,"3719 Amy Lynn Dr",NASHVILLE,37218.0,TN,36.205839,-86.883449,1,rooftop,3719,"Amy Lynn Dr",,,Nashville,TN,"Davidson County",37218,US,"City of Nashville"
34,"1900 Midway Ln",,,TN,36.154227,-82.994077,0.33,place,,,,,Midway,TN,"Greene County",37809,US,"TIGER/Line® dataset from the US Census Bureau"
35,"4601 Murphy Rd",NASHVILLE,37209.0,TN,36.139748,-86.846782,1,rooftop,4601,"Murphy Rd",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
36,"1436 Robinson Rd","OLD HICKORY",37138.0,TN,36.256199,-86.655176,1,rooftop,1436,"Robinson Rd",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
37,"2826 Hartford Dr",NASHVILLE,37210.0,TN,36.110948,-86.733093,1,range_interpolation,2826,"Hartford Dr",,,Nashville,TN,"Davidson County",37210,US,"TIGER/Line® dataset from the US Census Bureau"
38,"901 E Old Hickory Blvd",MADISON,37115.0,TN,36.263297,-86.690181,1,rooftop,901,"Old Hickory Blvd E",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
39,"708 Garfield St",NASHVILLE,37208.0,TN,36.181023,-86.795761,1,rooftop,708,"Garfield St",,,Nashville,TN,"Davidson County",37208,US,"City of Nashville"
40,"578 Aldi Blvd",,,TN,35.858564,-86.349357,1,state,,,,,,TN,,,US,"US Census Bureau"
41,"5415 Louisiana Ave",NASHVILLE,37209.0,TN,36.161771,-86.853248,1,range_interpolation,5415,"Louisiana Ave",,,Nashville,TN,"Davidson County",37209,US,"TIGER/Line® dataset from the US Census Bureau"
42,"602 Joseph Ave",NASHVILLE,37207.0,TN,36.181503,-86.772399,1,range_interpolation,602,"Joseph Ave",,,Nashville,TN,"Davidson County",37207,US,"TIGER/Line® dataset from the US Census Bureau"
43,"4054 Andrew Jackson Way",HERMITAGE,37076.0,TN,36.186209,-86.608764,1,rooftop,4054,"Andrew Jackson Way",,,Hermitage,TN,"Davidson County",37076,US,"City of Nashville"
44,"2440 Couchville Pike",,,TN,36.245679,-81.958173,0.18,place,,,,,Poga,TN,"Carter County",37640,US,"TIGER/Line® dataset from the US Census Bureau"
45,"6216 Robin Hill Rd",NASHVILLE,37205.0,TN,36.107006,-86.883062,1,rooftop,6216,"Robin Hill Rd",,,Nashville,TN,"Davidson County",37205,US,"City of Nashville"
46,"3759 Nolensville Pike",NASHVILLE,37211.0,TN,36.095022,-86.737314,1,range_interpolation,3759,"Nolensville Pike",,,Nashville,TN,"Davidson County",37212,US,"TIGER/Line® dataset from the US Census Bureau"
47,"1711 Division St",NASHVILLE,37203.0,TN,36.151196,-86.794088,1,rooftop,1711,"Division St",,,Nashville,TN,"Davidson County",37203,US,"City of Nashville"
48,"4617 Old Hickory Blvd","OLD HICKORY",37138.0,TN,36.202703,-86.621906,1,rooftop,4617,"Old Hickory Blvd",,,"Old Hickory",TN,"Davidson County",37138,US,"City of Nashville"
